Probe #,Sample (f),Timestamp
1,29.48,12/13/2018 22:56
2,30.56,12/13/2018 22:56
3,27.76,12/13/2018 22:56
4,29.57,12/13/2018 22:56
5,25.5,12/13/2018 22:56
1,29.47,12/13/2018 22:56
2,30.95,12/13/2018 22:56
3,27.59,12/13/2018 22:56
4,29.55,12/13/2018 22:56
5,25.41,12/13/2018 22:56
1,29.5,12/13/2018 22:56
2,30.66,12/13/2018 22:56
3,27.98,12/13/2018 22:56
4,29.85,12/13/2018 22:56
5,25.44,12/13/2018 22:56
1,29.65,12/13/2018 22:56
2,31.06,12/13/2018 22:56
3,27.74,12/13/2018 22:56
4,29.66,12/13/2018 22:56
5,25.6,12/13/2018 22:56
1,29.61,12/13/2018 22:56
2,30.83,12/13/2018 22:56
3,28,12/13/2018 22:56
4,29.49,12/13/2018 22:56
5,25.58,12/13/2018 22:56
1,29.56,12/13/2018 22:56
2,30.87,12/13/2018 22:56
3,27.94,12/13/2018 22:56
4,29.63,12/13/2018 22:56
5,25.66,12/13/2018 22:56
1,29.94,12/13/2018 22:56
2,31.12,12/13/2018 22:56
3,27.74,12/13/2018 22:56
4,29.81,12/13/2018 22:56
5,25.92,12/13/2018 22:56
1,29.83,12/13/2018 22:56
2,30.92,12/13/2018 22:56
3,27.94,12/13/2018 22:56
4,29.82,12/13/2018 22:56
5,25.93,12/13/2018 22:56
1,29.6,12/13/2018 22:56
2,31.24,12/13/2018 22:56
3,27.87,12/13/2018 22:56
4,29.97,12/13/2018 22:56
5,25.98,12/13/2018 22:56
1,29.71,12/13/2018 22:56
2,31.13,12/13/2018 22:56
3,28.01,12/13/2018 22:56
4,29.85,12/13/2018 22:56
5,25.69,12/13/2018 22:56
1,29.79,12/13/2018 22:56
2,31.08,12/13/2018 22:56
3,28.28,12/13/2018 22:56
4,29.9,12/13/2018 22:56
5,25.95,12/13/2018 22:56
1,29.82,12/13/2018 22:56
2,31.41,12/13/2018 22:56
3,28.06,12/13/2018 22:56
4,30.13,12/13/2018 22:56
5,25.92,12/13/2018 22:56
1,29.91,12/13/2018 22:56
2,31.24,12/13/2018 22:56
3,28.22,12/13/2018 22:56
4,29.82,12/13/2018 22:56
5,26.1,12/13/2018 22:56
1,30.07,12/13/2018 22:56
2,31.29,12/13/2018 22:56
3,28.11,12/13/2018 22:56
4,30.24,12/13/2018 22:56
5,26.19,12/13/2018 22:56
1,29.93,12/13/2018 22:56
2,31.33,12/13/2018 22:56
3,28.3,12/13/2018 22:56
4,30.23,12/13/2018 22:56
5,26.39,12/13/2018 22:56
1,30.11,12/13/2018 22:56
2,31.43,12/13/2018 22:56
3,28.36,12/13/2018 22:56
4,30.27,12/13/2018 22:56
5,26.52,12/13/2018 22:56
1,30.16,12/13/2018 22:56
2,31.45,12/13/2018 22:56
3,28.49,12/13/2018 22:56
4,30.29,12/13/2018 22:56
5,26.19,12/13/2018 22:56
1,30.34,12/13/2018 22:56
2,31.59,12/13/2018 22:56
3,28.4,12/13/2018 22:56
4,30.17,12/13/2018 22:56
5,26.55,12/13/2018 22:56
1,30.48,12/13/2018 22:56
2,31.42,12/13/2018 22:56
3,28.67,12/13/2018 22:56
4,30.27,12/13/2018 22:56
5,26.27,12/13/2018 22:56
1,30.36,12/13/2018 22:56
2,31.6,12/13/2018 22:56
3,28.8,12/13/2018 22:56
4,30.32,12/13/2018 22:56
5,26.6,12/13/2018 22:56
1,30.39,12/13/2018 22:56
2,31.65,12/13/2018 22:56
3,28.46,12/13/2018 22:56
4,30.56,12/13/2018 22:56
5,26.4,12/13/2018 22:56
1,30.22,12/13/2018 22:56
2,31.42,12/13/2018 22:56
3,28.63,12/13/2018 22:56
4,30.52,12/13/2018 22:56
5,26.16,12/13/2018 22:56
1,30.03,12/13/2018 22:56
2,31.8,12/13/2018 22:56
3,28.62,12/13/2018 22:56
4,30.36,12/13/2018 22:56
5,26.35,12/13/2018 22:56
1,30.43,12/13/2018 22:56
2,32.09,12/13/2018 22:56
3,28.67,12/13/2018 22:56
4,30.6,12/13/2018 22:56
5,26.72,12/13/2018 22:56
1,30.46,12/13/2018 22:56
2,31.77,12/13/2018 22:56
3,29.05,12/13/2018 22:56
4,30.56,12/13/2018 22:56
5,26.45,12/13/2018 22:56
1,30.52,12/13/2018 22:56
2,31.9,12/13/2018 22:56
3,28.99,12/13/2018 22:56
4,30.69,12/13/2018 22:56
5,26.53,12/13/2018 22:56
1,30.58,12/13/2018 22:56
2,31.98,12/13/2018 22:56
3,29,12/13/2018 22:56
4,30.77,12/13/2018 22:56
5,26.41,12/13/2018 22:56
1,30.43,12/13/2018 22:56
2,31.96,12/13/2018 22:56
3,29.13,12/13/2018 22:56
4,30.62,12/13/2018 22:56
5,26.56,12/13/2018 22:56
1,30.74,12/13/2018 22:56
2,32.06,12/13/2018 22:56
3,29.14,12/13/2018 22:56
4,30.96,12/13/2018 22:56
5,26.54,12/13/2018 22:56
1,30.83,12/13/2018 22:56
2,32.31,12/13/2018 22:56
3,29.17,12/13/2018 22:56
4,30.9,12/13/2018 22:56
5,26.88,12/13/2018 22:56
1,30.97,12/13/2018 22:56
2,32.12,12/13/2018 22:56
3,29.1,12/13/2018 22:56
4,30.98,12/13/2018 22:56
5,26.77,12/13/2018 22:56
1,30.58,12/13/2018 22:56
2,32.24,12/13/2018 22:56
3,29.11,12/13/2018 22:56
4,30.95,12/13/2018 22:56
5,26.77,12/13/2018 22:56
1,30.64,12/13/2018 22:56
2,32.25,12/13/2018 22:56
3,28.9,12/13/2018 22:56
4,31.08,12/13/2018 22:56
5,26.63,12/13/2018 22:56
1,31.04,12/13/2018 22:56
2,32.5,12/13/2018 22:56
3,29.38,12/13/2018 22:56
4,30.88,12/13/2018 22:56
5,26.88,12/13/2018 22:56
1,31.21,12/13/2018 22:56
