"Probe #","Sample (f)","Timestamp"
10,24.86,"2018-12-11 13:06:22"
10,24.98,"2018-12-11 13:06:23"
10,25.03,"2018-12-11 13:06:24"
10,25.08,"2018-12-11 13:06:25"
10,24.87,"2018-12-11 13:06:26"
10,24.98,"2018-12-11 13:06:27"
10,24.65,"2018-12-11 13:06:28"
10,24.56,"2018-12-11 13:06:29"
10,24.67,"2018-12-11 13:06:30"
10,24.89,"2018-12-11 13:06:31"
10,25.03,"2018-12-11 13:06:32"
10,24.87,"2018-12-11 13:06:33"
10,25.16,"2018-12-11 13:06:34"
10,25.1,"2018-12-11 13:06:35"
10,24.97,"2018-12-11 13:06:36"
10,24.77,"2018-12-11 13:06:37"
10,25.13,"2018-12-11 13:06:38"
10,25.25,"2018-12-11 13:06:39"
10,25.04,"2018-12-11 13:06:40"
10,25.13,"2018-12-11 13:06:41"
10,25.07,"2018-12-11 13:06:42"
10,25.08,"2018-12-11 13:06:43"
10,25.07,"2018-12-11 13:06:44"
10,24.83,"2018-12-11 13:06:45"
10,24.84,"2018-12-11 13:06:46"
10,24.84,"2018-12-11 13:06:47"
10,24.88,"2018-12-11 13:06:48"
10,24.88,"2018-12-11 13:06:49"
10,24.84,"2018-12-11 13:06:50"
10,24.8,"2018-12-11 13:06:51"
10,24.53,"2018-12-11 13:06:52"
10,24.72,"2018-12-11 13:06:53"
10,24.65,"2018-12-11 13:06:54"
10,24.77,"2018-12-11 13:06:55"
10,24.71,"2018-12-11 13:06:56"
10,24.32,"2018-12-11 13:06:57"
10,24.36,"2018-12-11 13:06:58"
10,24.19,"2018-12-11 13:06:59"
10,23.9,"2018-12-11 13:07:00"
10,24.23,"2018-12-11 13:07:01"
10,24.34,"2018-12-11 13:07:02"
10,24.26,"2018-12-11 13:07:03"
10,24.45,"2018-12-11 13:07:04"
10,24.55,"2018-12-11 13:07:05"
10,24.45,"2018-12-11 13:07:06"
10,24.63,"2018-12-11 13:07:07"
10,24.66,"2018-12-11 13:07:08"
10,24.68,"2018-12-11 13:07:09"
10,24.62,"2018-12-11 13:07:10"
10,24.65,"2018-12-11 13:07:11"
10,24.81,"2018-12-11 13:07:12"
10,24.83,"2018-12-11 13:07:13"
10,24.88,"2018-12-11 13:07:14"
10,25.02,"2018-12-11 13:07:15"
10,24.77,"2018-12-11 13:07:16"
10,24.9,"2018-12-11 13:07:17"
10,24.97,"2018-12-11 13:07:18"
10,25.09,"2018-12-11 13:07:19"
10,24.93,"2018-12-11 13:07:20"
10,24.93,"2018-12-11 13:07:21"
10,25.01,"2018-12-11 13:07:22"
10,25.16,"2018-12-11 13:07:23"
10,25.06,"2018-12-11 13:07:24"
10,25.17,"2018-12-11 13:07:25"
10,25.01,"2018-12-11 13:07:26"
10,24.79,"2018-12-11 13:07:27"
10,24.78,"2018-12-11 13:07:28"
10,24.54,"2018-12-11 13:07:29"
10,24.91,"2018-12-11 13:07:30"
10,25.02,"2018-12-11 13:07:31"
10,25,"2018-12-11 13:07:32"
10,24.97,"2018-12-11 13:07:33"
10,24.87,"2018-12-11 13:07:34"
10,25.06,"2018-12-11 13:07:35"
10,25.05,"2018-12-11 13:07:36"
10,25.1,"2018-12-11 13:07:37"
10,24.85,"2018-12-11 13:07:38"
10,24.99,"2018-12-11 13:07:39"
10,24.94,"2018-12-11 13:07:40"
10,25.07,"2018-12-11 13:07:41"
10,25.06,"2018-12-11 13:07:42"
10,24.96,"2018-12-11 13:07:43"
10,25.08,"2018-12-11 13:07:44"
10,25.16,"2018-12-11 13:07:45"
10,25.18,"2018-12-11 13:07:46"
10,25.19,"2018-12-11 13:07:47"
10,25.15,"2018-12-11 13:07:48"
10,25.2,"2018-12-11 13:07:49"
10,25.05,"2018-12-11 13:07:50"
10,25.15,"2018-12-11 13:07:51"
10,25.03,"2018-12-11 13:07:52"
10,25.18,"2018-12-11 13:07:53"
10,25.35,"2018-12-11 13:07:54"
10,25.17,"2018-12-11 13:07:55"
10,24.95,"2018-12-11 13:07:56"
10,24.9,"2018-12-11 13:07:57"
10,25.21,"2018-12-11 13:07:58"
10,25.35,"2018-12-11 13:07:59"
10,25.56,"2018-12-11 13:08:00"
10,25.44,"2018-12-11 13:08:01"
10,25.41,"2018-12-11 13:08:02"
10,25.33,"2018-12-11 13:08:03"
10,25.15,"2018-12-11 13:08:04"
10,25.22,"2018-12-11 13:08:05"
10,25.21,"2018-12-11 13:08:06"
10,25.11,"2018-12-11 13:08:07"
10,25.23,"2018-12-11 13:08:08"
10,25.24,"2018-12-11 13:08:09"
10,25.13,"2018-12-11 13:08:10"
10,25.01,"2018-12-11 13:08:11"
10,25.02,"2018-12-11 13:08:12"
10,25.12,"2018-12-11 13:08:13"
10,25.03,"2018-12-11 13:08:14"
10,25.05,"2018-12-11 13:08:15"
10,25.31,"2018-12-11 13:08:16"
10,25.22,"2018-12-11 13:08:17"
10,25.4,"2018-12-11 13:08:18"
10,25.21,"2018-12-11 13:08:19"
10,25.33,"2018-12-11 13:08:20"
10,25.57,"2018-12-11 13:08:21"
10,25.19,"2018-12-11 13:08:22"
10,25.31,"2018-12-11 13:08:23"
10,24.95,"2018-12-11 13:08:24"
10,25.18,"2018-12-11 13:08:25"
10,25.02,"2018-12-11 13:08:26"
10,25.29,"2018-12-11 13:08:27"
10,25.26,"2018-12-11 13:08:28"
10,25.25,"2018-12-11 13:08:29"
10,25.3,"2018-12-11 13:08:30"
10,25.38,"2018-12-11 13:08:31"
10,25.36,"2018-12-11 13:08:32"
10,25.22,"2018-12-11 13:08:33"
10,25.25,"2018-12-11 13:08:34"
10,25.06,"2018-12-11 13:08:35"
10,24.97,"2018-12-11 13:08:36"
10,25.03,"2018-12-11 13:08:37"
10,25.18,"2018-12-11 13:08:38"
10,25.13,"2018-12-11 13:08:39"
10,25.01,"2018-12-11 13:08:40"
10,25.27,"2018-12-11 13:08:41"
10,25.25,"2018-12-11 13:08:42"
10,25.47,"2018-12-11 13:08:43"
10,25.47,"2018-12-11 13:08:44"
10,25.62,"2018-12-11 13:08:45"
10,25.49,"2018-12-11 13:08:46"
10,25.57,"2018-12-11 13:08:47"
10,25.33,"2018-12-11 13:08:48"
10,25.49,"2018-12-11 13:08:49"
10,25.58,"2018-12-11 13:08:50"
10,25.33,"2018-12-11 13:08:51"
10,25.33,"2018-12-11 13:08:52"
10,25.09,"2018-12-11 13:08:53"
10,25.41,"2018-12-11 13:08:54"
10,25.38,"2018-12-11 13:08:55"
10,25.38,"2018-12-11 13:08:56"
10,25.68,"2018-12-11 13:08:57"
10,25.67,"2018-12-11 13:08:58"
10,25.59,"2018-12-11 13:08:59"
10,25.61,"2018-12-11 13:09:00"
10,25.49,"2018-12-11 13:09:01"
10,25.61,"2018-12-11 13:09:02"
10,25.57,"2018-12-11 13:09:03"
10,25.32,"2018-12-11 13:09:04"
10,25.19,"2018-12-11 13:09:05"
10,25.14,"2018-12-11 13:09:06"
10,25.11,"2018-12-11 13:09:07"
10,24.97,"2018-12-11 13:09:08"
10,24.88,"2018-12-11 13:09:09"
10,24.92,"2018-12-11 13:09:10"
10,25.01,"2018-12-11 13:09:11"
10,25.12,"2018-12-11 13:09:12"
10,25.12,"2018-12-11 13:09:13"
10,25.19,"2018-12-11 13:09:14"
10,25.17,"2018-12-11 13:09:15"
10,24.99,"2018-12-11 13:09:16"
10,25.15,"2018-12-11 13:09:17"
10,25.16,"2018-12-11 13:09:18"
10,25.23,"2018-12-11 13:09:19"
10,25.28,"2018-12-11 13:09:20"
10,25.27,"2018-12-11 13:09:21"
10,25.1,"2018-12-11 13:09:22"
10,24.94,"2018-12-11 13:09:23"
10,24.93,"2018-12-11 13:09:24"
10,24.96,"2018-12-11 13:09:25"
10,25.22,"2018-12-11 13:09:26"
10,25.08,"2018-12-11 13:09:27"
10,25.25,"2018-12-11 13:09:28"
10,25.16,"2018-12-11 13:09:29"
10,25.25,"2018-12-11 13:09:30"
10,25.21,"2018-12-11 13:09:31"
10,25.22,"2018-12-11 13:09:32"
10,25.24,"2018-12-11 13:09:33"
10,25.33,"2018-12-11 13:09:34"
10,25.18,"2018-12-11 13:09:35"
10,25.41,"2018-12-11 13:09:36"
10,25.31,"2018-12-11 13:09:37"
10,25.42,"2018-12-11 13:09:38"
10,25.22,"2018-12-11 13:09:39"
